,Dataset.Name,Added.By,X.Description..include..sample.type..environment.species..and.comparison.variable..,Sample.Size,Minor.Group.Size,Seq..Tech.,X16S.variable.region,Aitch..PER..R2,Aitch..PER..P,Median.unrarified.depth,Rarefaction.depth,Pipeline.Name,Paper.doi,Raw.data,Metadata.File.Name,Metadata.File.md5sum,ASV.Table.File.Name,ASV.Table.md5sum,ASV.Table.Rarified.Name,ASV.Table.Rarified.md5sum,Genus.Table.File.Name,Genus.Table.md5sum,Genus.Table.Rarified.Name,Genus.Table.Rarified.md5sum,X16S.sequence.fasta.Name,X16S.sequence.fasta.md5sum,Completed.Filter.ASV.Pipeline,Completed.Filter.Genus.Pipeline,Completed.non.Filter.ASV,log(Sample size),Aitchson's Dist. Effect Size,log(Aitch. dist. effect size),Sparsity,Richness,log(Max read depth),log(Read depth range),Read depth variation,% below prev. cut-off
Mouse Facilities,Chemerin,Original hackathon,Stool of mice from different source facilities,115,36,Miseq,V6-V8,NA,NA,6742,2456,Deblur,10.7717/peerj.5494,ENA study PRJEB25165,Chemerin_metadata.tsv,948befc88d2115ad0ca5141131715575,Chemerin_ASVs_table.tsv,043febf6364ddd42e4278dae06b70fe9,Chemerin_ASVs_table_rare.tsv,70de4f109702371199c6bd573b405af4,Chemerin_genus_table.tsv,e79d24ef36623be4c70b989bae25ab8f,Chemerin_genus_table_rare.tsv,e88339c8ff8c976886d76b3e17ae0fa2,,,Yes,Yes,Run,4.744932128,0.367475271,-1.001099252,0.849244722,212,8.816111896,9.082166033,0.266336994,62.72022551
Soil - Blueberry,Blueberry,Original hackathon,Soil from bulk soil or blueberry rhizosphere associated soil,63,24,Miseq,V6-V8,NA,NA,11442,5215,Deblur,10.1094/PBIOMES-03-17-0012-R,SRA study PRJNA389786,Blueberry_metadata.tsv,aa8345e46fb31ba8349c27d350956b8e,Blueberry_ASVs_table.tsv,8a16a255f91050d45834c41041a57cc6,Blueberry_ASVs_table_rare.tsv,016c3fe900c2857060235db00a7ca948,Blueberry_genus_table.tsv,e8c5043c3b142a08a5f117d234ffb231,Blueberry_genus_table_rare.tsv,9833b42719519e8b892d31e4f3237ea9,,,Yes,Yes,Run,4.143134726,0.034080956,-3.379016537,0.850452896,1245,9.345046075,9.377717481,0.249219242,60.53365676
Human - ALL,MALL,Original hackathon,Stool samples from pediatric acute lymphoblastic leukemia patients with or without infections,36,16,Miseq,V4-V5,NA,NA,7171.5,2085,Deblur,10.3389/fcimb.2019.00028,ENA study PRJEB29237,MALL_metadata.tsv,880f8b10eec1a3428812435d0b69a912,MALL_ASVs_table.tsv,e6382142dd3752ae06a8dbaa0ecf39ee,MALL_ASVs_table_rare.tsv,cffe4e9797a390958b3b28ea33950b6b,MALL_genus_table.tsv,1ad33533617e89114050a55e1e444066,MALL_genus_table_rare.tsv,c3b2911df30d973a60a59b198a0f2148,,,Yes,Yes,Run,3.583518938,0.073220327,-2.61428221,0.897066582,78.5,8.877870117,9.444463427,0.377634554,73.31433998
Mouse - Exercised,Exercise,Original hackathon,Stool of mice that were forced to exercise vs mice that were not forced to exercise,81,38,Miseq,V6-V8,NA,NA,5212,2184,Deblur,10.1128/mSystems.00006-17,ENA study PRJEB18615,Exercise_metadata.tsv,bb4310e4d1512d44bab1c2a4f3bdcfac,Exercise_ASVs_table.tsv,c71cf9d8d6d37b4deee8e6cd45a3bbbb,Exercise_ASVs_table_rare.tsv,4ee5416e1420637fb4e2adec1785de6e,Exercise_genus_table.tsv,8d40788c6f513f6b77ae32c6a6e20c13,Exercise_genus_table_rare.tsv,88e1010b1cf78aae3a0ee12e6a8c4f70,,,Yes,Yes,Run,4.394449155,0.017426347,-4.049772051,0.782939832,282,8.558718938,9.145268375,0.299738662,45.77303884
Human - CD (1),BISCUIT,Original hackathon,Intestinal biopsy samples of pediatric healthy controls vs Crohn's disease patients,38,18,Miseq,V6-V8,NA,NA,7328.5,2098,Deblur,10.1186/s40168-018-0398-3,ENA study PRJEB21933,BISCUIT_metadata.tsv,efa0ac473faeba3bfffe41e545c56bce,BISCUIT_ASVs_table.tsv,537f01d412d67c020a4d85f7efefb287,BISCUIT_ASVs_table_rare.tsv,bbe2d8fee4a479ad292af76d2943b087,BISCUIT_genus_table.tsv,785bf80dd08c632d38db23c7665c57d3,BISCUIT_genus_table_rare.tsv,c5887bb2fc83799cc1d3e371ed1c09c4,,,Yes,Yes ((very few genera classified)),Run,3.63758616,0.031555856,-3.455996101,0.893078971,124,9.107144179,9.680531484,0.422938003,73.91304348
Built - Office,Office,Jacob,Comparsion between samples from Toronto office and San Diego office,1107,531,MiSeq,V4,NA,NA,6220,2000,QIITA deblur,10.1128/mSystems.00022-16,QIITA study 10423,Office_metadata.tsv,3f15a7155a8b85df46a76b07b7e82f92,Office_ASVs_table.tsv,4ff9630eb5bb82933855c6659d1aff59,Office_ASVs_table_rare.tsv,b2b5c5e1cb31d867cdce016c1a86460e,Office_genus_table.tsv,1fb559783269c4821783d30f972bbec2,Office_genus_table_rare.tsv,7431bd4234c36c1d912da2d7bc714ac7,,,Yes,Yes,SKIP,7.009408933,0.003272917,-5.722073539,0.997553963,117,8.821879863,10.61053764,0.742174006,99.75307653
Human - RA,art_scher,Gavin,Stool samples of rheumatoid arthritis patients vs controls,69,15,454,V1-V2,NA,NA,3216,2024,Duvallet et al. 2017 USEARCH pipeline,10.7554/eLife.01202.001,SRA study SRP023463,art_scher_metadata.tsv,12bc6f58732db34fabfd169da963e09e,art_scher_ASVs_table.tsv,5fa8490c4702ef5075c172c832439a79,art_scher_ASVs_table_rare.tsv,92ec64e9295e44fc96e8981bfc25c72b,art_scher_genus_table.tsv,ce946bcc50fe087cbcbd280cbbeb95ef,art_scher_genus_table_rare.tsv,ba463ffc6738673db9d012b9640db99f,NA,NA,Yes,Yes,Run,4.234106505,0.01915584,-3.955147645,0.884623542,206,8.07589363,9.453678631,0.603289465,63.3604336
Human - ASD,asd_son,Gavin,Stool samples from neurotypical and autistic sibling children,102,43,Miseq,V1-V2,NA,NA,4781.5,2529,Duvallet et al. 2017 USEARCH pipeline,10.1371/journal.pone.0137725,SRA study SRP057700,asd_son_metadata.tsv,9d7497322f7a2b318d38e94b1bfc772d,asd_son_ASVs_table.tsv,d5a172327a8756802c36f4598f2dad6c,asd_son_ASVs_table_rare.tsv,1293856003233627e1c2bf9df4885896,asd_son_genus_table.tsv,e9439a97e7e8c69ede6827e9af1641ae,asd_son_genus_table_rare.tsv,43f93ed948e0a718098e7ab3b6c88ddc,NA,NA,Yes,Yes,Run,4.624972813,0.00869261,-4.745282073,0.873504927,378,8.472509584,8.812992232,0.314456599,64.42011632
Human - C. diff (1),cdi_schubert,Gavin,Stool samples from hospitalized individuals with or without Clostridium difficile infection,237,84,454,V3-V5,NA,NA,4967,2010,Duvallet et al. 2017 USEARCH pipeline,10.1128/mBio.01021-14,mothur.org/CDI_MicrobiomeModeling,cdi_schubert_metadata.tsv,c1e16646fc0a983045c6b07015c0f0b9,cdi_schubert_ASVs_table.tsv,491eefa3d63eb411493e8d376d85f9fd,cdi_schubert_ASVs_table_rare.tsv,f5799890f1392344cb85ce010ee89302,cdi_schubert_genus_table.tsv,fa6d4fa19352d1702052013f53338ee3,cdi_schubert_genus_table_rare.tsv,d01ac7ca1d98b304f6f456e24ed4ce27,NA,NA,Yes,Yes,Run,5.468060141,0.088353956,-2.4264043,0.925039281,254,8.510571315,9.520835242,0.340908324,82.0980275
Human - C. diff (2),cdi_vincent,Gavin,Stool samples from hospitalized Clostridium difficile patients vs matched controls,40,17,454,V3-V5,NA,NA,2665,2027,Duvallet et al. 2017 USEARCH pipeline,10.1186/2049-2618-1-18,Duvallet et al. 2017 emailed authors,cdi_vincent_metadata.tsv,00c391d2a333354be33582a44980bdcb,cdi_vincent_ASVs_table.tsv,50c7deadfd0c93cb04ee1d84e970a424,cdi_vincent_ASVs_table_rare.tsv,1f4f8632a91d14f07c8adf711d8e60bb,cdi_vincent_genus_table.tsv,3be2101479313f13fe3e12e555156fd4,cdi_vincent_genus_table_rare.tsv,c46095fecb4d1516b380bfeec677c26a,NA,NA,Yes,Yes,Run,3.688879454,0.043969798,-3.1242523,0.826677632,127.5,7.887959337,9.766865675,1.062048201,39.60526316
