,variable,Score (No. of tools that called ASV as significant),value (Percent of significant features identified by that tool),Method_clean,Total_Hits
1,aldex2,1,0,ALDEx2,10323
2,ancom,1,0,ANCOM-II,3758
3,corncob,1,0.708443728,corncob,17362
4,deseq2,1,0.303516207,DESeq2,17462
5,edger,1,8.507498541,edgeR,29139
6,lefse,1,7.555725061,LEfSe,23598
7,limma_voom_TMM,1,8.482829318,limma voom (TMM),23412
8,limma_voom_TMMwsp,1,11.12092146,limma voom (TMMwsp),24917
9,maaslin2,1,0.619670831,MaAsLin2,20172
10,maaslin2rare,1,0,MaAsLin2 (rare),17193
11,metagenomeSeq,1,0.490832158,metagenomeSeq,17725
12,ttestrare,1,2.34496124,t-test (rare),15480
13,wilcoxonclr,1,10.87262783,Wilcoxon (CLR),24134
14,wilcoxonrare,1,0,Wilcoxon (rare),17471
15,aldex2,2,0.067809745,ALDEx2,10323
16,ancom,2,0.532197978,ANCOM-II,3758
17,corncob,2,3.248473678,corncob,17362
18,deseq2,2,5.182682396,DESeq2,17462
19,edger,2,12.28593981,edgeR,29139
20,lefse,2,5.73353674,LEfSe,23598
21,limma_voom_TMM,2,6.078079617,limma voom (TMM),23412
22,limma_voom_TMMwsp,2,9.250712365,limma voom (TMMwsp),24917
23,maaslin2,2,1.427721594,MaAsLin2,20172
24,maaslin2rare,2,0.063979527,MaAsLin2 (rare),17193
25,metagenomeSeq,2,1.088857546,metagenomeSeq,17725
26,ttestrare,2,0.833333333,t-test (rare),15480
27,wilcoxonclr,2,12.93610674,Wilcoxon (CLR),24134
28,wilcoxonrare,2,0.228950833,Wilcoxon (rare),17471
29,aldex2,3,0.058122639,ALDEx2,10323
30,ancom,3,0.95795636,ANCOM-II,3758
31,corncob,3,4.561686442,corncob,17362
32,deseq2,3,3.269957622,DESeq2,17462
33,edger,3,7.241154467,edgeR,29139
34,lefse,3,3.610475464,LEfSe,23598
35,limma_voom_TMM,3,6.569280711,limma voom (TMM),23412
36,limma_voom_TMMwsp,3,7.06746398,limma voom (TMMwsp),24917
37,maaslin2,3,2.047392425,MaAsLin2,20172
38,maaslin2rare,3,0.337346595,MaAsLin2 (rare),17193
39,metagenomeSeq,3,3.435825106,metagenomeSeq,17725
40,ttestrare,3,0.704134367,t-test (rare),15480
41,wilcoxonclr,3,8.084030828,Wilcoxon (CLR),24134
42,wilcoxonrare,3,0.97876481,Wilcoxon (rare),17471
43,aldex2,4,0.222803449,ALDEx2,10323
44,ancom,4,0.71846727,ANCOM-II,3758
45,corncob,4,4.123948854,corncob,17362
46,deseq2,4,2.519757187,DESeq2,17462
47,edger,4,5.350217921,edgeR,29139
48,lefse,4,3.860496652,LEfSe,23598
49,limma_voom_TMM,4,4.894925679,limma voom (TMM),23412
50,limma_voom_TMMwsp,4,4.956455432,limma voom (TMMwsp),24917
