,aldex2,ancom,corncob,deseq2,edger,lefse,maaslin2,maaslin2rare,metagenomeSeq,ttestrare,wilcoxonclr,wilcoxonrare,limma_voom_TMM,limma_voom_TMMwsp
aldex2,0,0.566442367,0.745131501,0.614701185,0.832741978,0.818303747,0.546943426,0.552974067,0.55568209,0.420005249,0.437514243,0.470462499,0.597781988,0.661165787
ancom,0.566442367,0,0.880154122,0.729930945,0.910602823,0.907833473,0.726691639,0.689784012,0.732071097,0.69504649,0.697788395,0.678506682,0.730195306,0.775801013
corncob,0.745131501,0.880154122,0,0.586494337,0.683887657,0.704482797,0.61793057,0.690145189,0.690526538,0.720470847,0.754766543,0.681151131,0.694058855,0.721513104
deseq2,0.614701185,0.729930945,0.586494337,0,0.668474159,0.703728448,0.558744486,0.612701313,0.585376985,0.595013753,0.622352545,0.566061337,0.515518259,0.596298594
edger,0.832741978,0.910602823,0.683887657,0.668474159,0,0.628162407,0.678363257,0.730012802,0.748299881,0.791228774,0.759046221,0.740097165,0.717649377,0.711588142
lefse,0.818303747,0.907833473,0.704482797,0.703728448,0.628162407,0,0.641925547,0.681215299,0.770273486,0.788409134,0.805628684,0.663100692,0.722249016,0.712853468
maaslin2,0.546943426,0.726691639,0.61793057,0.558744486,0.678363257,0.641925547,0,0.364432341,0.473180423,0.545068401,0.562248185,0.421942952,0.546874143,0.600143146
maaslin2rare,0.552974067,0.689784012,0.690145189,0.612701313,0.730012802,0.681215299,0.364432341,0,0.525363077,0.493937746,0.63845853,0.29374181,0.600398055,0.670695909
metagenomeSeq,0.55568209,0.732071097,0.690526538,0.585376985,0.748299881,0.770273486,0.473180423,0.525363077,0,0.583784927,0.564734871,0.521055633,0.616307437,0.612092207
ttestrare,0.420005249,0.69504649,0.720470847,0.595013753,0.791228774,0.788409134,0.545068401,0.493937746,0.583784927,0,0.563560629,0.433386106,0.605292814,0.650907755
wilcoxonclr,0.437514243,0.697788395,0.754766543,0.622352545,0.759046221,0.805628684,0.562248185,0.63845853,0.564734871,0.563560629,0,0.516154955,0.593648041,0.565802663
wilcoxonrare,0.470462499,0.678506682,0.681151131,0.566061337,0.740097165,0.663100692,0.421942952,0.29374181,0.521055633,0.433386106,0.516154955,0,0.541509522,0.615978283
limma_voom_TMM,0.597781988,0.730195306,0.694058855,0.515518259,0.717649377,0.722249016,0.546874143,0.600398055,0.616307437,0.605292814,0.593648041,0.541509522,0,0.604392514
limma_voom_TMMwsp,0.661165787,0.775801013,0.721513104,0.596298594,0.711588142,0.712853468,0.600143146,0.670695909,0.612092207,0.650907755,0.565802663,0.615978283,0.604392514,0
