Replicate number,Tool,Percent_sig,Dataset
ArcticFreshWater.1,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.2,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.3,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.4,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.5,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.6,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.7,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.8,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.9,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.10,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.11,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.12,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.13,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.14,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.15,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.16,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.17,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.18,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.19,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.20,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.21,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.22,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.23,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.24,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.25,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.26,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.27,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.28,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.29,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.30,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.31,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.32,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.33,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.34,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.35,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.36,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.37,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.38,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.39,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.40,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.41,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.42,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.43,ALDEx2,0,Freshwater - Arctic
  ASVs: 344,,,
ArcticFreshWater.44,ALDEx2,0,Freshwater - Arctic
