Dataset,Unfiltered,Filtered
ArcticFireSoils,13.65723955,5.589519651
ArcticFreshwaters,4.478806126,0.290697674
ArcticTransects,8.238648526,0.593798109
art_scher,0.27100271,0.295857988
asd_son,5.542251112,4.423076923
BISCUIT,2.218278616,1.700680272
Blueberry,13.95997574,13.30669945
cdi_schubert,7.680812911,8.180300501
cdi_vincent,0.526315789,0.871459695
Chemerin,13.24876674,2.835538752
crc_baxter,7.505566719,3.330557868
crc_zeller,33.77572658,28.72424375
edd_singh,4.009077156,4.888888889
Exercise,6.930693069,4.073033708
glass_plastic_oberbeckmann,1.460221551,0.875912409
GWMC_ASIA_NA,12.42463369,9.425382389
GWMC_HOT_COLD,12.12469878,9.235758601
hiv_dinh,4.041204437,4.662379421
hiv_lozupone,4.152249135,2.118644068
hiv_noguerajulian,9.008700418,6.306597671
ibd_gevers,3.75531179,1.462904911
ibd_papa,0.893898173,0.492125984
Ji_WTP_DS,0.664187035,0.78125
MALL,1.519468186,0.355871886
ob_goodrich,18.31891931,9.937018894
ob_ross,0.249376559,0.166389351
ob_turnbaugh,0.540009818,0.877192982
ob_zhu,4.708723212,4.311543811
Office,9.122821067,0
par_scheperjans,2.783505155,1.225114855
sed_plastic_hoellein,2.009635237,1.37283237
sed_plastic_rosato,5.800464037,5.340557276
seston_plastic_mccormick,2.347872913,1.005025126
sw_plastic_frere,6.531226486,6.60691955
sw_sed_detender,5.023723137,4.140694568
t1d_alkanani,7.978595767,9.33125972
t1d_mejialeon,8.756567426,7.556675063
wood_plastic_kesy,2.555313182,1.575757576
