Dataset,Tool,value,type
ArcticFireSoils,ALDEx2,0.355748373,Recall
ArcticFreshwaters,ALDEx2,1,Recall
ArcticTransects,ALDEx2,0.98030303,Recall
art_scher,ALDEx2,0,Recall
asd_son,ALDEx2,0,Recall
BISCUIT,ALDEx2,0,Recall
Blueberry,ALDEx2,0,Recall
cdi_schubert,ALDEx2,0.157647059,Recall
cdi_vincent,ALDEx2,0,Recall
Chemerin,ALDEx2,0.953917051,Recall
crc_zeller,ALDEx2,0,Recall
edd_singh,ALDEx2,0.369047619,Recall
Exercise,ALDEx2,0,Recall
glass_plastic_oberbeckmann,ALDEx2,0.020746888,Recall
GWMC_ASIA_NA,ALDEx2,0.931155193,Recall
GWMC_HOT_COLD,ALDEx2,1,Recall
hiv_dinh,ALDEx2,0,Recall
hiv_lozupone,ALDEx2,0,Recall
hiv_noguerajulian,ALDEx2,0,Recall
ibd_gevers,ALDEx2,0,Recall
ibd_papa,ALDEx2,0,Recall
Ji_WTP_DS,ALDEx2,0.601351351,Recall
MALL,ALDEx2,0.016666667,Recall
ob_ross,ALDEx2,0,Recall
ob_turnbaugh,ALDEx2,0,Recall
ob_zhu,ALDEx2,0.012224939,Recall
par_scheperjans,ALDEx2,0,Recall
sed_plastic_hoellein,ALDEx2,0.004119464,Recall
sed_plastic_rosato,ALDEx2,0.37534626,Recall
seston_plastic_mccormick,ALDEx2,0.072033898,Recall
sw_plastic_frere,ALDEx2,0.142764439,Recall
sw_sed_detender,ALDEx2,0.582326284,Recall
t1d_alkanani,ALDEx2,0,Recall
t1d_mejialeon,ALDEx2,0.008474576,Recall
wood_plastic_kesy,ALDEx2,0.165048544,Recall
ArcticFireSoils,ANCOM-II,0.1670282,Recall
ArcticFreshwaters,ANCOM-II,0.318181818,Recall
ArcticTransects,ANCOM-II,0.504545455,Recall
art_scher,ANCOM-II,0,Recall
asd_son,ANCOM-II,0,Recall
BISCUIT,ANCOM-II,0.071428571,Recall
Blueberry,ANCOM-II,0.137614679,Recall
cdi_schubert,ANCOM-II,0.157647059,Recall
cdi_vincent,ANCOM-II,0.03125,Recall
Chemerin,ANCOM-II,0.640552995,Recall
crc_zeller,ANCOM-II,0.583333333,Recall
edd_singh,ANCOM-II,0.178571429,Recall
Exercise,ANCOM-II,1,Recall
glass_plastic_oberbeckmann,ANCOM-II,0.01659751,Recall
GWMC_ASIA_NA,ANCOM-II,0.405484247,Recall
GWMC_HOT_COLD,ANCOM-II,0.984771574,Recall
hiv_dinh,ANCOM-II,0,Recall
hiv_lozupone,ANCOM-II,0.003802281,Recall
hiv_noguerajulian,ANCOM-II,0.166666667,Recall
ibd_gevers,ANCOM-II,0.058309038,Recall
ibd_papa,ANCOM-II,0,Recall
Ji_WTP_DS,ANCOM-II,0.182432432,Recall
MALL,ANCOM-II,0.016666667,Recall
ob_ross,ANCOM-II,0,Recall
ob_turnbaugh,ANCOM-II,0.023904382,Recall
ob_zhu,ANCOM-II,0.04400978,Recall
par_scheperjans,ANCOM-II,0,Recall
sed_plastic_hoellein,ANCOM-II,0.01338826,Recall
sed_plastic_rosato,ANCOM-II,0.077562327,Recall
seston_plastic_mccormick,ANCOM-II,0.052966102,Recall
sw_plastic_frere,ANCOM-II,0.140168722,Recall
sw_sed_detender,ANCOM-II,0.179758308,Recall
t1d_alkanani,ANCOM-II,0,Recall
t1d_mejialeon,ANCOM-II,0.008474576,Recall
wood_plastic_kesy,ANCOM-II,0.038834951,Recall
ArcticFireSoils,corncob,0.323210412,Recall
ArcticFreshwaters,corncob,0.977272727,Recall
ArcticTransects,corncob,0.842424242,Recall
art_scher,corncob,0.15,Recall
asd_son,corncob,0,Recall
BISCUIT,corncob,0,Recall
Blueberry,corncob,0.055045872,Recall
cdi_schubert,corncob,0.36,Recall
cdi_vincent,corncob,0.0625,Recall
Chemerin,corncob,0.262672811,Recall
crc_zeller,corncob,0.666666667,Recall
edd_singh,corncob,0.404761905,Recall
Exercise,corncob,0,Recall
glass_plastic_oberbeckmann,corncob,0.033195021,Recall
GWMC_ASIA_NA,corncob,0.936989498,Recall
GWMC_HOT_COLD,corncob,0.984771574,Recall
hiv_dinh,corncob,0.03030303,Recall
hiv_lozupone,corncob,0.068441065,Recall
hiv_noguerajulian,corncob,0.133333333,Recall
ibd_gevers,corncob,0.099125364,Recall
ibd_papa,corncob,0.016611296,Recall
Ji_WTP_DS,corncob,0.195945946,Recall
MALL,corncob,0.35,Recall
ob_ross,corncob,0,Recall
ob_turnbaugh,corncob,0.019920319,Recall
ob_zhu,corncob,0.134474328,Recall
par_scheperjans,corncob,0,Recall
sed_plastic_hoellein,corncob,0.081359423,Recall
sed_plastic_rosato,corncob,0.443213296,Recall
seston_plastic_mccormick,corncob,0.141949153,Recall
sw_plastic_frere,corncob,0.105126541,Recall
sw_sed_detender,corncob,0.333836858,Recall
t1d_alkanani,corncob,0.207843137,Recall
t1d_mejialeon,corncob,0.338983051,Recall
wood_plastic_kesy,corncob,0.184466019,Recall
ArcticFireSoils,DESeq2,0.369848156,Recall
ArcticFreshwaters,DESeq2,1,Recall
ArcticTransects,DESeq2,0.942424242,Recall
art_scher,DESeq2,0.05,Recall
asd_son,DESeq2,0,Recall
BISCUIT,DESeq2,0.142857143,Recall
Blueberry,DESeq2,0.064220183,Recall
cdi_schubert,DESeq2,0.237647059,Recall
cdi_vincent,DESeq2,0.15625,Recall
Chemerin,DESeq2,0.963133641,Recall
crc_zeller,DESeq2,0.875,Recall
edd_singh,DESeq2,0.333333333,Recall
Exercise,DESeq2,0,Recall
glass_plastic_oberbeckmann,DESeq2,0.033195021,Recall
GWMC_ASIA_NA,DESeq2,0.920070012,Recall
GWMC_HOT_COLD,DESeq2,0.989847716,Recall
hiv_dinh,DESeq2,0,Recall
hiv_lozupone,DESeq2,0.057034221,Recall
hiv_noguerajulian,DESeq2,0.033333333,Recall
ibd_gevers,DESeq2,0.008746356,Recall
ibd_papa,DESeq2,0,Recall
Ji_WTP_DS,DESeq2,0.581081081,Recall
MALL,DESeq2,0.25,Recall
ob_ross,DESeq2,0,Recall
ob_turnbaugh,DESeq2,0.023904382,Recall
ob_zhu,DESeq2,0.127139364,Recall
par_scheperjans,DESeq2,0,Recall
sed_plastic_hoellein,DESeq2,0.057672503,Recall
sed_plastic_rosato,DESeq2,0.495844875,Recall
seston_plastic_mccormick,DESeq2,0.128177966,Recall
sw_plastic_frere,DESeq2,0.1596366,Recall
sw_sed_detender,DESeq2,0.67673716,Recall
t1d_alkanani,DESeq2,0,Recall
t1d_mejialeon,DESeq2,0.13559322,Recall
wood_plastic_kesy,DESeq2,0.194174757,Recall
ArcticFireSoils,edgeR,0.620390456,Recall
ArcticFreshwaters,edgeR,0.977272727,Recall
ArcticTransects,edgeR,0.986363636,Recall
art_scher,edgeR,0.2,Recall
asd_son,edgeR,0,Recall
BISCUIT,edgeR,0.714285714,Recall
Blueberry,edgeR,0.724770642,Recall
cdi_schubert,edgeR,0.343529412,Recall
cdi_vincent,edgeR,0.28125,Recall
Chemerin,edgeR,1,Recall
crc_zeller,edgeR,0.958333333,Recall
edd_singh,edgeR,0.678571429,Recall
Exercise,edgeR,0,Recall
glass_plastic_oberbeckmann,edgeR,0.182572614,Recall
GWMC_ASIA_NA,edgeR,0.960326721,Recall
GWMC_HOT_COLD,edgeR,0.989847716,Recall
hiv_dinh,edgeR,0.234848485,Recall
hiv_lozupone,edgeR,0.072243346,Recall
hiv_noguerajulian,edgeR,0.166666667,Recall
ibd_gevers,edgeR,0.096209913,Recall
ibd_papa,edgeR,0.106312292,Recall
Ji_WTP_DS,edgeR,0.797297297,Recall
MALL,edgeR,0.833333333,Recall
ob_ross,edgeR,0.5,Recall
ob_turnbaugh,edgeR,0.167330677,Recall
ob_zhu,edgeR,0.276283619,Recall
par_scheperjans,edgeR,0.076923077,Recall
sed_plastic_hoellein,edgeR,0.321318229,Recall
sed_plastic_rosato,edgeR,0.738227147,Recall
seston_plastic_mccormick,edgeR,0.457627119,Recall
sw_plastic_frere,edgeR,0.458468527,Recall
sw_sed_detender,edgeR,0.89652568,Recall
t1d_alkanani,edgeR,0,Recall
t1d_mejialeon,edgeR,0.110169492,Recall
wood_plastic_kesy,edgeR,0.344660194,Recall
ArcticFireSoils,LEfSe,0.562906725,Recall
