Dataset,Tool,value,type
ArcticFireSoils,ALDEx2,0.996124031,Recall
ArcticFreshwaters,ALDEx2,1,Recall
ArcticTransects,ALDEx2,1,Recall
art_scher,ALDEx2,0,Recall
BISCUIT,ALDEx2,0,Recall
Blueberry,ALDEx2,0,Recall
cdi_schubert,ALDEx2,0.887096774,Recall
cdi_vincent,ALDEx2,0,Recall
Chemerin,ALDEx2,1,Recall
crc_zeller,ALDEx2,0,Recall
edd_singh,ALDEx2,0.848484848,Recall
Exercise,ALDEx2,0,Recall
glass_plastic_oberbeckmann,ALDEx2,0.064102564,Recall
GWMC_ASIA_NA,ALDEx2,1,Recall
GWMC_HOT_COLD,ALDEx2,1,Recall
hiv_dinh,ALDEx2,0,Recall
hiv_lozupone,ALDEx2,0,Recall
hiv_noguerajulian,ALDEx2,0,Recall
ibd_gevers,ALDEx2,0,Recall
ibd_papa,ALDEx2,0,Recall
Ji_WTP_DS,ALDEx2,0.809090909,Recall
MALL,ALDEx2,0.045454545,Recall
ob_ross,ALDEx2,0,Recall
ob_turnbaugh,ALDEx2,0,Recall
ob_zhu,ALDEx2,0.027027027,Recall
par_scheperjans,ALDEx2,0,Recall
sed_plastic_hoellein,ALDEx2,0.009925558,Recall
sed_plastic_rosato,ALDEx2,0.575692964,Recall
seston_plastic_mccormick,ALDEx2,0.26446281,Recall
sw_plastic_frere,ALDEx2,0.427889207,Recall
sw_sed_detender,ALDEx2,0.661431065,Recall
t1d_alkanani,ALDEx2,0,Recall
t1d_mejialeon,ALDEx2,0.009174312,Recall
wood_plastic_kesy,ALDEx2,0.486486486,Recall
ArcticFireSoils,ANCOM-II,0.651162791,Recall
ArcticFreshwaters,ANCOM-II,0.785714286,Recall
ArcticTransects,ANCOM-II,0.629565217,Recall
art_scher,ANCOM-II,0,Recall
BISCUIT,ANCOM-II,0.25,Recall
Blueberry,ANCOM-II,0.170454545,Recall
cdi_schubert,ANCOM-II,0.693548387,Recall
cdi_vincent,ANCOM-II,0.052631579,Recall
Chemerin,ANCOM-II,0.702020202,Recall
crc_zeller,ANCOM-II,0.857142857,Recall
edd_singh,ANCOM-II,0.424242424,Recall
Exercise,ANCOM-II,1,Recall
glass_plastic_oberbeckmann,ANCOM-II,0.051282051,Recall
GWMC_ASIA_NA,ANCOM-II,0.99695586,Recall
GWMC_HOT_COLD,ANCOM-II,1,Recall
hiv_dinh,ANCOM-II,0,Recall
hiv_lozupone,ANCOM-II,0.00729927,Recall
hiv_noguerajulian,ANCOM-II,0.916666667,Recall
ibd_gevers,ANCOM-II,0.23655914,Recall
ibd_papa,ANCOM-II,0,Recall
Ji_WTP_DS,ANCOM-II,0.245454545,Recall
MALL,ANCOM-II,0.045454545,Recall
ob_ross,ANCOM-II,0,Recall
ob_turnbaugh,ANCOM-II,0.142857143,Recall
ob_zhu,ANCOM-II,0.097297297,Recall
par_scheperjans,ANCOM-II,0,Recall
sed_plastic_hoellein,ANCOM-II,0.032258065,Recall
sed_plastic_rosato,ANCOM-II,0.119402985,Recall
seston_plastic_mccormick,ANCOM-II,0.169421488,Recall
sw_plastic_frere,ANCOM-II,0.376313276,Recall
sw_sed_detender,ANCOM-II,0.206806283,Recall
t1d_alkanani,ANCOM-II,0,Recall
t1d_mejialeon,ANCOM-II,0.009174312,Recall
wood_plastic_kesy,ANCOM-II,0.108108108,Recall
ArcticFireSoils,corncob,0.786821705,Recall
ArcticFreshwaters,corncob,1,Recall
ArcticTransects,corncob,0.893913043,Recall
art_scher,corncob,0.111111111,Recall
BISCUIT,corncob,0,Recall
Blueberry,corncob,0.068181818,Recall
cdi_schubert,corncob,0.596774194,Recall
cdi_vincent,corncob,0.157894737,Recall
Chemerin,corncob,0.257575758,Recall
crc_zeller,corncob,0.714285714,Recall
edd_singh,corncob,0.878787879,Recall
Exercise,corncob,0,Recall
glass_plastic_oberbeckmann,corncob,0.102564103,Recall
GWMC_ASIA_NA,corncob,0.99086758,Recall
GWMC_HOT_COLD,corncob,0.991150442,Recall
hiv_dinh,corncob,0.027027027,Recall
hiv_lozupone,corncob,0.051094891,Recall
hiv_noguerajulian,corncob,0.25,Recall
ibd_gevers,corncob,0.677419355,Recall
ibd_papa,corncob,0.037037037,Recall
Ji_WTP_DS,corncob,0.272727273,Recall
MALL,corncob,0.409090909,Recall
ob_ross,corncob,0,Recall
ob_turnbaugh,corncob,0.047619048,Recall
ob_zhu,corncob,0.378378378,Recall
par_scheperjans,corncob,0,Recall
