Tool and replicate,FP_class (called more than 30% of features significant),% of significant features,Tool,normalized depth difference,geometric mean difference,mean depth across dataset,dataset
Wilcoxon (CLR).1,FALSE,0,Wilcoxon (CLR),0.0718797,0.000224614,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).2,FALSE,0,Wilcoxon (CLR),0.009366106,0.000427671,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).3,FALSE,0,Wilcoxon (CLR),0.009855707,0.000326421,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).4,FALSE,0,Wilcoxon (CLR),0.027783627,0.000194461,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).5,FALSE,0,Wilcoxon (CLR),0.036953629,0.000482997,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).6,FALSE,0,Wilcoxon (CLR),0.065055733,0.00020279,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).7,FALSE,0,Wilcoxon (CLR),0.025583893,0.000825817,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).8,FALSE,0,Wilcoxon (CLR),0.015364745,0.000632954,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).9,FALSE,0,Wilcoxon (CLR),0.027016252,0.000489737,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).10,FALSE,0,Wilcoxon (CLR),0.053216379,0.000938556,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).11,FALSE,0,Wilcoxon (CLR),0.028334178,0.000148484,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).12,TRUE,96.211717,Wilcoxon (CLR),0.106106288,0.001674786,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).13,FALSE,0,Wilcoxon (CLR),0.046008252,0.000719612,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).14,FALSE,0,Wilcoxon (CLR),0.026431202,0.000648585,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).15,FALSE,0,Wilcoxon (CLR),0.050853831,0.001295433,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).16,FALSE,0,Wilcoxon (CLR),0.05139439,0.001235501,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).17,TRUE,90.55749501,Wilcoxon (CLR),0.126529648,0.001955609,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).18,FALSE,0,Wilcoxon (CLR),0.02585667,0.00149348,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).19,FALSE,0,Wilcoxon (CLR),0.01508897,0.001106066,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
Wilcoxon (CLR).20,FALSE,0,Wilcoxon (CLR),0.046924506,0.001490242,8499.526539,Freshwater - Arctic
 Mean Depth: 8500,,,,,,,
